module,rule_id,rule_name,hit,dimension_type,dimension_name,period_start,period_end,metrics,threshold,evidence
S1,R5,核心品类下行趋势,False,category,影像乐园,2025-08,2025-10,"{""current_revenue"": 18875.0, ""previous_revenue"": 16292.0, ""start_revenue"": 14581.0}",连续3个完整月下降,"[""2025-08 首单营收 14581.00"", ""2025-09 首单营收 16292.00"", ""2025-10 首单营收 18875.00""]"
S1,R5,核心品类下行趋势,False,category,手机摄影,2025-08,2025-10,"{""current_revenue"": 3895853.75, ""previous_revenue"": 3249366.05, ""start_revenue"": 3905422.15}",连续3个完整月下降,"[""2025-08 首单营收 3905422.15"", ""2025-09 首单营收 3249366.05"", ""2025-10 首单营收 3895853.75""]"
S1,R5,核心品类下行趋势,False,category,普拉提,2025-08,2025-10,"{""current_revenue"": 6651951.57, ""previous_revenue"": 5347537.8, ""start_revenue"": 7199957.12}",连续3个完整月下降,"[""2025-08 首单营收 7199957.12"", ""2025-09 首单营收 5347537.80"", ""2025-10 首单营收 6651951.57""]"
S1,R5,核心品类下行趋势,True,category,气血调理,2025-08,2025-10,"{""current_revenue"": 2348690.0, ""previous_revenue"": 2543994.77, ""start_revenue"": 2734224.97}",连续3个完整月下降,"[""2025-08 首单营收 2734224.97"", ""2025-09 首单营收 2543994.77"", ""2025-10 首单营收 2348690.00""]"
S1,R5,核心品类下行趋势,True,category,瑜伽,2025-08,2025-10,"{""current_revenue"": 6836879.09, ""previous_revenue"": 9599461.98, ""start_revenue"": 12191415.69}",连续3个完整月下降,"[""2025-08 首单营收 12191415.69"", ""2025-09 首单营收 9599461.98"", ""2025-10 首单营收 6836879.09""]"
S1,R5,核心品类下行趋势,False,category,相机摄影,2025-08,2025-10,"{""current_revenue"": 855878.46, ""previous_revenue"": 711355.8, ""start_revenue"": 950868.74}",连续3个完整月下降,"[""2025-08 首单营收 950868.74"", ""2025-09 首单营收 711355.80"", ""2025-10 首单营收 855878.46""]"
S1,R5,核心品类下行趋势,False,category,睡眠调理,2025-08,2025-10,"{""current_revenue"": 2396362.97, ""previous_revenue"": 2737407.83, ""start_revenue"": 2397012.46}",连续3个完整月下降,"[""2025-08 首单营收 2397012.46"", ""2025-09 首单营收 2737407.83"", ""2025-10 首单营收 2396362.97""]"
S1,R5,核心品类下行趋势,False,category,短视频,2025-08,2025-10,"{""current_revenue"": 4374878.94, ""previous_revenue"": 5638805.02, ""start_revenue"": 4731849.65}",连续3个完整月下降,"[""2025-08 首单营收 4731849.65"", ""2025-09 首单营收 5638805.02"", ""2025-10 首单营收 4374878.94""]"
S1,R5,核心品类下行趋势,False,category,私域,2025-08,2025-10,"{""current_revenue"": 0.0, ""previous_revenue"": 0.0, ""start_revenue"": 0.0}",连续3个完整月下降,"[""2025-08 首单营收 0.00"", ""2025-09 首单营收 0.00"", ""2025-10 首单营收 0.00""]"
S1,R5,核心品类下行趋势,False,category,舞蹈,2025-08,2025-10,"{""current_revenue"": 44751.7, ""previous_revenue"": 56908.3, ""start_revenue"": 44121.5}",连续3个完整月下降,"[""2025-08 首单营收 44121.50"", ""2025-09 首单营收 56908.30"", ""2025-10 首单营收 44751.70""]"
S1,R5,核心品类下行趋势,False,category,茶道,2025-08,2025-10,"{""current_revenue"": 12504.0, ""previous_revenue"": 55096.6, ""start_revenue"": 30214.0}",连续3个完整月下降,"[""2025-08 首单营收 30214.00"", ""2025-09 首单营收 55096.60"", ""2025-10 首单营收 12504.00""]"
S1,R5,核心品类下行趋势,True,category,逆龄女神瑜伽,2025-08,2025-10,"{""current_revenue"": 61294.3, ""previous_revenue"": 63342.0, ""start_revenue"": 96989.6}",连续3个完整月下降,"[""2025-08 首单营收 96989.60"", ""2025-09 首单营收 63342.00"", ""2025-10 首单营收 61294.30""]"
S1,R5,核心品类下行趋势,False,category,面部瑜伽驻颜,2025-08,2025-10,"{""current_revenue"": 252359.1, ""previous_revenue"": 204889.5, ""start_revenue"": 91093.9}",连续3个完整月下降,"[""2025-08 首单营收 91093.90"", ""2025-09 首单营收 204889.50"", ""2025-10 首单营收 252359.10""]"
S1,R5,核心品类下行趋势,True,category,风光摄影,2025-08,2025-10,"{""current_revenue"": 1.9, ""previous_revenue"": 887.3, ""start_revenue"": 8902.5}",连续3个完整月下降,"[""2025-08 首单营收 8902.50"", ""2025-09 首单营收 887.30"", ""2025-10 首单营收 1.90""]"
S1,R8,涨跌两极分化,True,all_categories,__ALL__,2025-08,2025-09,"{""growth_spread"": 66675.28567052205, ""max_growth_rate"": 66674.28571428572, ""min_growth_rate"": -0.9999562363238512}",同时存在环比 >30% 与 <-30%,"[""最大环比品类 产研测试，增速 66674.285714"", ""最小环比品类 体质食养，增速 -0.999956""]"
S1,R8,涨跌两极分化,True,all_categories,__ALL__,2025-09,2025-10,"{""growth_spread"": 71.41345427059713, ""max_growth_rate"": 70.41345427059713, ""min_growth_rate"": -1.0}",同时存在环比 >30% 与 <-30%,"[""最大环比品类 摄影美学，增速 70.413454"", ""最小环比品类 钩针编织美学，增速 -1.000000""]"
S1,R9,系统性下跌,True,all_categories,__ALL__,2025-08,2025-10,"{""declining_category_count"": 10}",> 3个品类连续3个完整月下降,"[""满足R5连续下降条件的品类数 10""]"
S2,R37,CAC环比跳升,False,channel,360,2025-08,2025-09,"{""change_percentage_points"": -0.6901669099999999, ""current_cac_rate"": 1.44130965, ""previous_cac_rate"": 2.13147656}",> 0.05（5个百分点）,"[""2025-08 CAC率 2.131477"", ""2025-09 CAC率 1.441310"", ""环比变化 -0.690167""]"
S2,R37,CAC环比跳升,True,channel,360,2025-09,2025-10,"{""change_percentage_points"": 0.20476552999999997, ""current_cac_rate"": 1.64607518, ""previous_cac_rate"": 1.44130965}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.441310"", ""2025-10 CAC率 1.646075"", ""环比变化 0.204766""]"
S2,R36,CAC连续上升,False,channel,360,2025-08,2025-10,"{""current_cac_rate"": 1.64607518, ""previous_cac_rate"": 1.44130965, ""start_cac_rate"": 2.13147656}",连续3个完整月上升,"[""2025-08 CAC率 2.131477"", ""2025-09 CAC率 1.441310"", ""2025-10 CAC率 1.646075""]"
S2,R37,CAC环比跳升,False,channel,CX老师-SY-其他异业,2025-08,2025-09,"{""change_percentage_points"": 0.0, ""current_cac_rate"": 0.0, ""previous_cac_rate"": 0.0}",> 0.05（5个百分点）,"[""2025-08 CAC率 0.000000"", ""2025-09 CAC率 0.000000"", ""环比变化 0.000000""]"
S2,R37,CAC环比跳升,True,channel,Facebook,2025-08,2025-09,"{""change_percentage_points"": 21.17584347, ""current_cac_rate"": 24.82998958, ""previous_cac_rate"": 3.65414611}",> 0.05（5个百分点）,"[""2025-08 CAC率 3.654146"", ""2025-09 CAC率 24.829990"", ""环比变化 21.175843""]"
S2,R37,CAC环比跳升,False,channel,GDT,2025-08,2025-09,"{""change_percentage_points"": -0.12720968, ""current_cac_rate"": 1.58973529, ""previous_cac_rate"": 1.71694497}",> 0.05（5个百分点）,"[""2025-08 CAC率 1.716945"", ""2025-09 CAC率 1.589735"", ""环比变化 -0.127210""]"
S2,R37,CAC环比跳升,True,channel,GDT,2025-09,2025-10,"{""change_percentage_points"": 0.13553122000000006, ""current_cac_rate"": 1.72526651, ""previous_cac_rate"": 1.58973529}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.589735"", ""2025-10 CAC率 1.725267"", ""环比变化 0.135531""]"
S2,R36,CAC连续上升,False,channel,GDT,2025-08,2025-10,"{""current_cac_rate"": 1.72526651, ""previous_cac_rate"": 1.58973529, ""start_cac_rate"": 1.71694497}",连续3个完整月上升,"[""2025-08 CAC率 1.716945"", ""2025-09 CAC率 1.589735"", ""2025-10 CAC率 1.725267""]"
S2,R37,CAC环比跳升,False,channel,HW-聚力,2025-08,2025-09,"{""change_percentage_points"": -0.8021873800000001, ""current_cac_rate"": 0.14766489, ""previous_cac_rate"": 0.94985227}",> 0.05（5个百分点）,"[""2025-08 CAC率 0.949852"", ""2025-09 CAC率 0.147665"", ""环比变化 -0.802187""]"
S2,R37,CAC环比跳升,True,channel,HW-聚力,2025-09,2025-10,"{""change_percentage_points"": 1.75428966, ""current_cac_rate"": 1.90195455, ""previous_cac_rate"": 0.14766489}",> 0.05（5个百分点）,"[""2025-09 CAC率 0.147665"", ""2025-10 CAC率 1.901955"", ""环比变化 1.754290""]"
S2,R36,CAC连续上升,False,channel,HW-聚力,2025-08,2025-10,"{""current_cac_rate"": 1.90195455, ""previous_cac_rate"": 0.14766489, ""start_cac_rate"": 0.94985227}",连续3个完整月上升,"[""2025-08 CAC率 0.949852"", ""2025-09 CAC率 0.147665"", ""2025-10 CAC率 1.901955""]"
S2,R37,CAC环比跳升,False,channel,LZF老师-SY-其他异业,2025-08,2025-09,"{""change_percentage_points"": -0.11819873000000003, ""current_cac_rate"": 0.36587367, ""previous_cac_rate"": 0.4840724}",> 0.05（5个百分点）,"[""2025-08 CAC率 0.484072"", ""2025-09 CAC率 0.365874"", ""环比变化 -0.118199""]"
S2,R37,CAC环比跳升,True,channel,LZF老师-SY-其他异业,2025-09,2025-10,"{""change_percentage_points"": 0.30595616, ""current_cac_rate"": 0.67182983, ""previous_cac_rate"": 0.36587367}",> 0.05（5个百分点）,"[""2025-09 CAC率 0.365874"", ""2025-10 CAC率 0.671830"", ""环比变化 0.305956""]"
S2,R36,CAC连续上升,False,channel,LZF老师-SY-其他异业,2025-08,2025-10,"{""current_cac_rate"": 0.67182983, ""previous_cac_rate"": 0.36587367, ""start_cac_rate"": 0.4840724}",连续3个完整月上升,"[""2025-08 CAC率 0.484072"", ""2025-09 CAC率 0.365874"", ""2025-10 CAC率 0.671830""]"
S2,R37,CAC环比跳升,True,channel,NG快鸟-XCX-垂直应用,2025-08,2025-09,"{""change_percentage_points"": 0.37632241, ""current_cac_rate"": 1.93546192, ""previous_cac_rate"": 1.55913951}",> 0.05（5个百分点）,"[""2025-08 CAC率 1.559140"", ""2025-09 CAC率 1.935462"", ""环比变化 0.376322""]"
S2,R37,CAC环比跳升,True,channel,PQ-P-垂直应用,2025-08,2025-09,"{""change_percentage_points"": 0.1263578299999999, ""current_cac_rate"": 1.23061757, ""previous_cac_rate"": 1.10425974}",> 0.05（5个百分点）,"[""2025-08 CAC率 1.104260"", ""2025-09 CAC率 1.230618"", ""环比变化 0.126358""]"
S2,R37,CAC环比跳升,False,channel,PQ-P-垂直应用,2025-09,2025-10,"{""change_percentage_points"": -0.13774781000000003, ""current_cac_rate"": 1.09286976, ""previous_cac_rate"": 1.23061757}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.230618"", ""2025-10 CAC率 1.092870"", ""环比变化 -0.137748""]"
S2,R36,CAC连续上升,False,channel,PQ-P-垂直应用,2025-08,2025-10,"{""current_cac_rate"": 1.09286976, ""previous_cac_rate"": 1.23061757, ""start_cac_rate"": 1.10425974}",连续3个完整月上升,"[""2025-08 CAC率 1.104260"", ""2025-09 CAC率 1.230618"", ""2025-10 CAC率 1.092870""]"
S2,R37,CAC环比跳升,True,channel,PQ卡锐-P-垂直应用,2025-08,2025-09,"{""change_percentage_points"": 0.6986187000000001, ""current_cac_rate"": 2.0783197, ""previous_cac_rate"": 1.379701}",> 0.05（5个百分点）,"[""2025-08 CAC率 1.379701"", ""2025-09 CAC率 2.078320"", ""环比变化 0.698619""]"
S2,R37,CAC环比跳升,False,channel,PQ卡锐-P-垂直应用,2025-09,2025-10,"{""change_percentage_points"": -0.5885987200000002, ""current_cac_rate"": 1.48972098, ""previous_cac_rate"": 2.0783197}",> 0.05（5个百分点）,"[""2025-09 CAC率 2.078320"", ""2025-10 CAC率 1.489721"", ""环比变化 -0.588599""]"
S2,R36,CAC连续上升,False,channel,PQ卡锐-P-垂直应用,2025-08,2025-10,"{""current_cac_rate"": 1.48972098, ""previous_cac_rate"": 2.0783197, ""start_cac_rate"": 1.379701}",连续3个完整月上升,"[""2025-08 CAC率 1.379701"", ""2025-09 CAC率 2.078320"", ""2025-10 CAC率 1.489721""]"
S2,R37,CAC环比跳升,True,channel,PQ龙特星-P-垂直应用,2025-08,2025-09,"{""change_percentage_points"": 0.28468823, ""current_cac_rate"": 1.31520062, ""previous_cac_rate"": 1.03051239}",> 0.05（5个百分点）,"[""2025-08 CAC率 1.030512"", ""2025-09 CAC率 1.315201"", ""环比变化 0.284688""]"
S2,R37,CAC环比跳升,False,channel,PQ龙特星-P-垂直应用,2025-09,2025-10,"{""change_percentage_points"": -0.15260827999999993, ""current_cac_rate"": 1.16259234, ""previous_cac_rate"": 1.31520062}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.315201"", ""2025-10 CAC率 1.162592"", ""环比变化 -0.152608""]"
S2,R36,CAC连续上升,False,channel,PQ龙特星-P-垂直应用,2025-08,2025-10,"{""current_cac_rate"": 1.16259234, ""previous_cac_rate"": 1.31520062, ""start_cac_rate"": 1.03051239}",连续3个完整月上升,"[""2025-08 CAC率 1.030512"", ""2025-09 CAC率 1.315201"", ""2025-10 CAC率 1.162592""]"
S2,R37,CAC环比跳升,False,channel,PQ龙特星辰-P-垂直应用,2025-08,2025-09,"{""change_percentage_points"": -0.6511547100000001, ""current_cac_rate"": 2.17384529, ""previous_cac_rate"": 2.825}",> 0.05（5个百分点）,"[""2025-08 CAC率 2.825000"", ""2025-09 CAC率 2.173845"", ""环比变化 -0.651155""]"
S2,R37,CAC环比跳升,False,channel,WB-武汉优嘉,2025-08,2025-09,"{""change_percentage_points"": -2.9901755899999998, ""current_cac_rate"": 1.36120313, ""previous_cac_rate"": 4.35137872}",> 0.05（5个百分点）,"[""2025-08 CAC率 4.351379"", ""2025-09 CAC率 1.361203"", ""环比变化 -2.990176""]"
S2,R37,CAC环比跳升,True,channel,WB-武汉优嘉,2025-09,2025-10,"{""change_percentage_points"": 0.76562614, ""current_cac_rate"": 2.12682927, ""previous_cac_rate"": 1.36120313}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.361203"", ""2025-10 CAC率 2.126829"", ""环比变化 0.765626""]"
S2,R36,CAC连续上升,False,channel,WB-武汉优嘉,2025-08,2025-10,"{""current_cac_rate"": 2.12682927, ""previous_cac_rate"": 1.36120313, ""start_cac_rate"": 4.35137872}",连续3个完整月上升,"[""2025-08 CAC率 4.351379"", ""2025-09 CAC率 1.361203"", ""2025-10 CAC率 2.126829""]"
S2,R37,CAC环比跳升,False,channel,XM-亚德,2025-08,2025-09,"{""change_percentage_points"": -1.0766821100000001, ""current_cac_rate"": 1.33379293, ""previous_cac_rate"": 2.41047504}",> 0.05（5个百分点）,"[""2025-08 CAC率 2.410475"", ""2025-09 CAC率 1.333793"", ""环比变化 -1.076682""]"
S2,R37,CAC环比跳升,True,channel,XM-亚德,2025-09,2025-10,"{""change_percentage_points"": 0.9127673000000001, ""current_cac_rate"": 2.24656023, ""previous_cac_rate"": 1.33379293}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.333793"", ""2025-10 CAC率 2.246560"", ""环比变化 0.912767""]"
S2,R36,CAC连续上升,False,channel,XM-亚德,2025-08,2025-10,"{""current_cac_rate"": 2.24656023, ""previous_cac_rate"": 1.33379293, ""start_cac_rate"": 2.41047504}",连续3个完整月上升,"[""2025-08 CAC率 2.410475"", ""2025-09 CAC率 1.333793"", ""2025-10 CAC率 2.246560""]"
S2,R37,CAC环比跳升,False,channel,vivo,2025-08,2025-09,"{""change_percentage_points"": -1.0454149, ""current_cac_rate"": 1.80837338, ""previous_cac_rate"": 2.85378828}",> 0.05（5个百分点）,"[""2025-08 CAC率 2.853788"", ""2025-09 CAC率 1.808373"", ""环比变化 -1.045415""]"
S2,R37,CAC环比跳升,True,channel,vivo,2025-09,2025-10,"{""change_percentage_points"": 2.30306441, ""current_cac_rate"": 4.11143779, ""previous_cac_rate"": 1.80837338}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.808373"", ""2025-10 CAC率 4.111438"", ""环比变化 2.303064""]"
S2,R36,CAC连续上升,False,channel,vivo,2025-08,2025-10,"{""current_cac_rate"": 4.11143779, ""previous_cac_rate"": 1.80837338, ""start_cac_rate"": 2.85378828}",连续3个完整月上升,"[""2025-08 CAC率 2.853788"", ""2025-09 CAC率 1.808373"", ""2025-10 CAC率 4.111438""]"
S2,R37,CAC环比跳升,False,channel,三金手机摄影教学-sp-短直视频,2025-08,2025-09,"{""change_percentage_points"": 0.034954310000000044, ""current_cac_rate"": 0.83938495, ""previous_cac_rate"": 0.80443064}",> 0.05（5个百分点）,"[""2025-08 CAC率 0.804431"", ""2025-09 CAC率 0.839385"", ""环比变化 0.034954""]"
S2,R37,CAC环比跳升,False,channel,三金手机摄影教学-sp-短直视频,2025-09,2025-10,"{""change_percentage_points"": 0.01883334999999997, ""current_cac_rate"": 0.8582183, ""previous_cac_rate"": 0.83938495}",> 0.05（5个百分点）,"[""2025-09 CAC率 0.839385"", ""2025-10 CAC率 0.858218"", ""环比变化 0.018833""]"
S2,R36,CAC连续上升,True,channel,三金手机摄影教学-sp-短直视频,2025-08,2025-10,"{""current_cac_rate"": 0.8582183, ""previous_cac_rate"": 0.83938495, ""start_cac_rate"": 0.80443064}",连续3个完整月上升,"[""2025-08 CAC率 0.804431"", ""2025-09 CAC率 0.839385"", ""2025-10 CAC率 0.858218""]"
S2,R37,CAC环比跳升,True,channel,东升-摄影粉-DY-直播,2025-08,2025-09,"{""change_percentage_points"": 0.14296286000000002, ""current_cac_rate"": 1.1428672, ""previous_cac_rate"": 0.99990434}",> 0.05（5个百分点）,"[""2025-08 CAC率 0.999904"", ""2025-09 CAC率 1.142867"", ""环比变化 0.142963""]"
S2,R37,CAC环比跳升,False,channel,东升-摄影粉-DY-直播,2025-09,2025-10,"{""change_percentage_points"": -0.16751034999999992, ""current_cac_rate"": 0.97535685, ""previous_cac_rate"": 1.1428672}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.142867"", ""2025-10 CAC率 0.975357"", ""环比变化 -0.167510""]"
S2,R36,CAC连续上升,False,channel,东升-摄影粉-DY-直播,2025-08,2025-10,"{""current_cac_rate"": 0.97535685, ""previous_cac_rate"": 1.1428672, ""start_cac_rate"": 0.99990434}",连续3个完整月上升,"[""2025-08 CAC率 0.999904"", ""2025-09 CAC率 1.142867"", ""2025-10 CAC率 0.975357""]"
S2,R37,CAC环比跳升,True,channel,东莞聚力-APP-垂直应用,2025-08,2025-09,"{""change_percentage_points"": 0.11276884999999992, ""current_cac_rate"": 1.78287105, ""previous_cac_rate"": 1.6701022}",> 0.05（5个百分点）,"[""2025-08 CAC率 1.670102"", ""2025-09 CAC率 1.782871"", ""环比变化 0.112769""]"
S2,R37,CAC环比跳升,True,channel,东莞聚力-APP-垂直应用,2025-09,2025-10,"{""change_percentage_points"": 0.20265529999999998, ""current_cac_rate"": 1.98552635, ""previous_cac_rate"": 1.78287105}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.782871"", ""2025-10 CAC率 1.985526"", ""环比变化 0.202655""]"
S2,R36,CAC连续上升,True,channel,东莞聚力-APP-垂直应用,2025-08,2025-10,"{""current_cac_rate"": 1.98552635, ""previous_cac_rate"": 1.78287105, ""start_cac_rate"": 1.6701022}",连续3个完整月上升,"[""2025-08 CAC率 1.670102"", ""2025-09 CAC率 1.782871"", ""2025-10 CAC率 1.985526""]"
S2,R37,CAC环比跳升,True,channel,乐推YK-APP-垂直应用,2025-08,2025-09,"{""change_percentage_points"": 0.91747159, ""current_cac_rate"": 1.54471216, ""previous_cac_rate"": 0.62724057}",> 0.05（5个百分点）,"[""2025-08 CAC率 0.627241"", ""2025-09 CAC率 1.544712"", ""环比变化 0.917472""]"
S2,R37,CAC环比跳升,True,channel,乐推YK-APP-垂直应用,2025-09,2025-10,"{""change_percentage_points"": 0.9879254500000001, ""current_cac_rate"": 2.53263761, ""previous_cac_rate"": 1.54471216}",> 0.05（5个百分点）,"[""2025-09 CAC率 1.544712"", ""2025-10 CAC率 2.532638"", ""环比变化 0.987925""]"
S2,R36,CAC连续上升,True,channel,乐推YK-APP-垂直应用,2025-08,2025-10,"{""current_cac_rate"": 2.53263761, ""previous_cac_rate"": 1.54471216, ""start_cac_rate"": 0.62724057}",连续3个完整月上升,"[""2025-08 CAC率 0.627241"", ""2025-09 CAC率 1.544712"", ""2025-10 CAC率 2.532638""]"
S2,R37,CAC环比跳升,False,channel,互动吧-G-公众号,2025-08,2025-09,"{""change_percentage_points"": -0.04359954999999999, ""current_cac_rate"": 0.45748967, ""previous_cac_rate"": 0.50108922}",> 0.05（5个百分点）,"[""2025-08 CAC率 0.501089"", ""2025-09 CAC率 0.457490"", ""环比变化 -0.043600""]"
S2,R37,CAC环比跳升,False,channel,互动吧-G-公众号,2025-09,2025-10,"{""change_percentage_points"": 0.022686309999999987, ""current_cac_rate"": 0.48017598, ""previous_cac_rate"": 0.45748967}",> 0.05（5个百分点）,"[""2025-09 CAC率 0.457490"", ""2025-10 CAC率 0.480176"", ""环比变化 0.022686""]"
S2,R36,CAC连续上升,False,channel,互动吧-G-公众号,2025-08,2025-10,"{""current_cac_rate"": 0.48017598, ""previous_cac_rate"": 0.45748967, ""start_cac_rate"": 0.50108922}",连续3个完整月上升,"[""2025-08 CAC率 0.501089"", ""2025-09 CAC率 0.457490"", ""2025-10 CAC率 0.480176""]"
S2,R37,CAC环比跳升,True,channel,互选平台-G-公众号,2025-09,2025-10,"{""change_percentage_points"": 0.43099254, ""current_cac_rate"": 0.43099254, ""previous_cac_rate"": 0.0}",> 0.05（5个百分点）,"[""2025-09 CAC率 0.000000"", ""2025-10 CAC率 0.430993"", ""环比变化 0.430993""]"
S2,R37,CAC环比跳升,False,channel,今日头条,2025-08,2025-09,"{""change_percentage_points"": -0.14262905000000003, ""current_cac_rate"": 1.41220807, ""previous_cac_rate"": 1.55483712}",> 0.05（5个百分点）,"[""2025-08 CAC率 1.554837"", ""2025-09 CAC率 1.412208"", ""环比变化 -0.142629""]"
