module,rule_id,month,dimension_type,dimension_value,hit,actual,threshold,reason
S1,R5,2025-10,所属品类,影像乐园,False,18875.00000000,连续3个完整月下降,14581.00 -> 16292.00 -> 18875.00
S1,R5,2025-10,所属品类,手机摄影,False,3895853.75000000,连续3个完整月下降,3905422.15 -> 3249366.05 -> 3895853.75
S1,R5,2025-10,所属品类,普拉提,False,6651951.57000000,连续3个完整月下降,7199957.12 -> 5347537.80 -> 6651951.57
S1,R5,2025-10,所属品类,气血调理,True,2348690.00000000,连续3个完整月下降,2734224.97 -> 2543994.77 -> 2348690.00
S1,R5,2025-10,所属品类,瑜伽,True,6836879.09000000,连续3个完整月下降,12191415.69 -> 9599461.98 -> 6836879.09
S1,R5,2025-10,所属品类,相机摄影,False,855878.46000000,连续3个完整月下降,950868.74 -> 711355.80 -> 855878.46
S1,R5,2025-10,所属品类,睡眠调理,False,2396362.97000000,连续3个完整月下降,2397012.46 -> 2737407.83 -> 2396362.97
S1,R5,2025-10,所属品类,短视频,False,4374878.94000000,连续3个完整月下降,4731849.65 -> 5638805.02 -> 4374878.94
S1,R5,2025-10,所属品类,私域,False,0.00000000,连续3个完整月下降,0.00 -> 0.00 -> 0.00
S1,R5,2025-10,所属品类,舞蹈,False,44751.70000000,连续3个完整月下降,44121.50 -> 56908.30 -> 44751.70
S1,R5,2025-10,所属品类,茶道,False,12504.00000000,连续3个完整月下降,30214.00 -> 55096.60 -> 12504.00
S1,R5,2025-10,所属品类,逆龄女神瑜伽,True,61294.30000000,连续3个完整月下降,96989.60 -> 63342.00 -> 61294.30
S1,R5,2025-10,所属品类,面部瑜伽驻颜,False,252359.10000000,连续3个完整月下降,91093.90 -> 204889.50 -> 252359.10
S1,R5,2025-10,所属品类,风光摄影,True,1.90000000,连续3个完整月下降,8902.50 -> 887.30 -> 1.90
S1,R8,2025-09,全品类,__ALL__,True,66675.28567052,同时存在环比>30%与<-30%,最大环比 66674.285714；最小环比 -0.999956
S1,R8,2025-10,全品类,__ALL__,True,71.41345427,同时存在环比>30%与<-30%,最大环比 70.413454；最小环比 -1.000000
S1,R9,2025-10,全品类,__ALL__,True,10.00000000,> 3个品类连续3个完整月下降,满足R5下降条件的品类数
S2,R37,2025-09,三级渠道,360,False,-0.69016691,> 0.05（5个百分点）,本月CAC率 1.441310 - 上月 2.131477
S2,R36,2025-10,三级渠道,360,False,1.64607518,连续3个完整月上升,2.131477 -> 1.441310 -> 1.646075
S2,R37,2025-10,三级渠道,360,True,0.20476553,> 0.05（5个百分点）,本月CAC率 1.646075 - 上月 1.441310
S2,R37,2025-09,三级渠道,CX老师-SY-其他异业,False,0.00000000,> 0.05（5个百分点）,本月CAC率 0.000000 - 上月 0.000000
S2,R37,2025-09,三级渠道,Facebook,True,21.17584347,> 0.05（5个百分点）,本月CAC率 24.829990 - 上月 3.654146
S2,R37,2025-09,三级渠道,GDT,False,-0.12720968,> 0.05（5个百分点）,本月CAC率 1.589735 - 上月 1.716945
S2,R36,2025-10,三级渠道,GDT,False,1.72526651,连续3个完整月上升,1.716945 -> 1.589735 -> 1.725267
S2,R37,2025-10,三级渠道,GDT,True,0.13553122,> 0.05（5个百分点）,本月CAC率 1.725267 - 上月 1.589735
S2,R37,2025-09,三级渠道,HW-聚力,False,-0.80218738,> 0.05（5个百分点）,本月CAC率 0.147665 - 上月 0.949852
S2,R36,2025-10,三级渠道,HW-聚力,False,1.90195455,连续3个完整月上升,0.949852 -> 0.147665 -> 1.901955
S2,R37,2025-10,三级渠道,HW-聚力,True,1.75428966,> 0.05（5个百分点）,本月CAC率 1.901955 - 上月 0.147665
S2,R37,2025-09,三级渠道,LZF老师-SY-其他异业,False,-0.11819873,> 0.05（5个百分点）,本月CAC率 0.365874 - 上月 0.484072
S2,R36,2025-10,三级渠道,LZF老师-SY-其他异业,False,0.67182983,连续3个完整月上升,0.484072 -> 0.365874 -> 0.671830
S2,R37,2025-10,三级渠道,LZF老师-SY-其他异业,True,0.30595616,> 0.05（5个百分点）,本月CAC率 0.671830 - 上月 0.365874
S2,R37,2025-09,三级渠道,NG快鸟-XCX-垂直应用,True,0.37632241,> 0.05（5个百分点）,本月CAC率 1.935462 - 上月 1.559140
S2,R37,2025-09,三级渠道,PQ-P-垂直应用,True,0.12635783,> 0.05（5个百分点）,本月CAC率 1.230618 - 上月 1.104260
S2,R36,2025-10,三级渠道,PQ-P-垂直应用,False,1.09286976,连续3个完整月上升,1.104260 -> 1.230618 -> 1.092870
S2,R37,2025-10,三级渠道,PQ-P-垂直应用,False,-0.13774781,> 0.05（5个百分点）,本月CAC率 1.092870 - 上月 1.230618
S2,R37,2025-09,三级渠道,PQ卡锐-P-垂直应用,True,0.69861870,> 0.05（5个百分点）,本月CAC率 2.078320 - 上月 1.379701
S2,R36,2025-10,三级渠道,PQ卡锐-P-垂直应用,False,1.48972098,连续3个完整月上升,1.379701 -> 2.078320 -> 1.489721
S2,R37,2025-10,三级渠道,PQ卡锐-P-垂直应用,False,-0.58859872,> 0.05（5个百分点）,本月CAC率 1.489721 - 上月 2.078320
S2,R37,2025-09,三级渠道,PQ龙特星-P-垂直应用,True,0.28468823,> 0.05（5个百分点）,本月CAC率 1.315201 - 上月 1.030512
S2,R36,2025-10,三级渠道,PQ龙特星-P-垂直应用,False,1.16259234,连续3个完整月上升,1.030512 -> 1.315201 -> 1.162592
S2,R37,2025-10,三级渠道,PQ龙特星-P-垂直应用,False,-0.15260828,> 0.05（5个百分点）,本月CAC率 1.162592 - 上月 1.315201
S2,R37,2025-09,三级渠道,PQ龙特星辰-P-垂直应用,False,-0.65115471,> 0.05（5个百分点）,本月CAC率 2.173845 - 上月 2.825000
S2,R37,2025-09,三级渠道,WB-武汉优嘉,False,-2.99017559,> 0.05（5个百分点）,本月CAC率 1.361203 - 上月 4.351379
S2,R36,2025-10,三级渠道,WB-武汉优嘉,False,2.12682927,连续3个完整月上升,4.351379 -> 1.361203 -> 2.126829
S2,R37,2025-10,三级渠道,WB-武汉优嘉,True,0.76562614,> 0.05（5个百分点）,本月CAC率 2.126829 - 上月 1.361203
S2,R37,2025-09,三级渠道,XM-亚德,False,-1.07668211,> 0.05（5个百分点）,本月CAC率 1.333793 - 上月 2.410475
S2,R36,2025-10,三级渠道,XM-亚德,False,2.24656023,连续3个完整月上升,2.410475 -> 1.333793 -> 2.246560
S2,R37,2025-10,三级渠道,XM-亚德,True,0.91276730,> 0.05（5个百分点）,本月CAC率 2.246560 - 上月 1.333793
S2,R37,2025-09,三级渠道,vivo,False,-1.04541490,> 0.05（5个百分点）,本月CAC率 1.808373 - 上月 2.853788
S2,R36,2025-10,三级渠道,vivo,False,4.11143779,连续3个完整月上升,2.853788 -> 1.808373 -> 4.111438
S2,R37,2025-10,三级渠道,vivo,True,2.30306441,> 0.05（5个百分点）,本月CAC率 4.111438 - 上月 1.808373
S2,R37,2025-09,三级渠道,三金手机摄影教学-sp-短直视频,False,0.03495431,> 0.05（5个百分点）,本月CAC率 0.839385 - 上月 0.804431
S2,R36,2025-10,三级渠道,三金手机摄影教学-sp-短直视频,True,0.85821830,连续3个完整月上升,0.804431 -> 0.839385 -> 0.858218
S2,R37,2025-10,三级渠道,三金手机摄影教学-sp-短直视频,False,0.01883335,> 0.05（5个百分点）,本月CAC率 0.858218 - 上月 0.839385
S2,R37,2025-09,三级渠道,东升-摄影粉-DY-直播,True,0.14296286,> 0.05（5个百分点）,本月CAC率 1.142867 - 上月 0.999904
S2,R36,2025-10,三级渠道,东升-摄影粉-DY-直播,False,0.97535685,连续3个完整月上升,0.999904 -> 1.142867 -> 0.975357
S2,R37,2025-10,三级渠道,东升-摄影粉-DY-直播,False,-0.16751035,> 0.05（5个百分点）,本月CAC率 0.975357 - 上月 1.142867
S2,R37,2025-09,三级渠道,东莞聚力-APP-垂直应用,True,0.11276885,> 0.05（5个百分点）,本月CAC率 1.782871 - 上月 1.670102
S2,R36,2025-10,三级渠道,东莞聚力-APP-垂直应用,True,1.98552635,连续3个完整月上升,1.670102 -> 1.782871 -> 1.985526
S2,R37,2025-10,三级渠道,东莞聚力-APP-垂直应用,True,0.20265530,> 0.05（5个百分点）,本月CAC率 1.985526 - 上月 1.782871
S2,R37,2025-09,三级渠道,乐推YK-APP-垂直应用,True,0.91747159,> 0.05（5个百分点）,本月CAC率 1.544712 - 上月 0.627241
S2,R36,2025-10,三级渠道,乐推YK-APP-垂直应用,True,2.53263761,连续3个完整月上升,0.627241 -> 1.544712 -> 2.532638
S2,R37,2025-10,三级渠道,乐推YK-APP-垂直应用,True,0.98792545,> 0.05（5个百分点）,本月CAC率 2.532638 - 上月 1.544712
S2,R37,2025-09,三级渠道,互动吧-G-公众号,False,-0.04359955,> 0.05（5个百分点）,本月CAC率 0.457490 - 上月 0.501089
S2,R36,2025-10,三级渠道,互动吧-G-公众号,False,0.48017598,连续3个完整月上升,0.501089 -> 0.457490 -> 0.480176
S2,R37,2025-10,三级渠道,互动吧-G-公众号,False,0.02268631,> 0.05（5个百分点）,本月CAC率 0.480176 - 上月 0.457490
S2,R37,2025-10,三级渠道,互选平台-G-公众号,True,0.43099254,> 0.05（5个百分点）,本月CAC率 0.430993 - 上月 0.000000
S2,R37,2025-09,三级渠道,今日头条,False,-0.14262905,> 0.05（5个百分点）,本月CAC率 1.412208 - 上月 1.554837
S2,R36,2025-10,三级渠道,今日头条,False,1.53004097,连续3个完整月上升,1.554837 -> 1.412208 -> 1.530041
S2,R37,2025-10,三级渠道,今日头条,True,0.11783290,> 0.05（5个百分点）,本月CAC率 1.530041 - 上月 1.412208
S2,R37,2025-09,三级渠道,优量汇,True,0.09966827,> 0.05（5个百分点）,本月CAC率 1.882860 - 上月 1.783191
S2,R36,2025-10,三级渠道,优量汇,False,1.75539901,连续3个完整月上升,1.783191 -> 1.882860 -> 1.755399
S2,R37,2025-10,三级渠道,优量汇,False,-0.12746063,> 0.05（5个百分点）,本月CAC率 1.755399 - 上月 1.882860
S2,R37,2025-09,三级渠道,公众号,True,0.09588360,> 0.05（5个百分点）,本月CAC率 1.550339 - 上月 1.454456
S2,R36,2025-10,三级渠道,公众号,False,1.45700903,连续3个完整月上升,1.454456 -> 1.550339 -> 1.457009
S2,R37,2025-10,三级渠道,公众号,False,-0.09333036,> 0.05（5个百分点）,本月CAC率 1.457009 - 上月 1.550339
S2,R37,2025-09,三级渠道,北海-摄影粉-DY-直播,False,0.02223181,> 0.05（5个百分点）,本月CAC率 1.153532 - 上月 1.131300
S2,R36,2025-10,三级渠道,北海-摄影粉-DY-直播,False,1.10847418,连续3个完整月上升,1.131300 -> 1.153532 -> 1.108474
S2,R37,2025-10,三级渠道,北海-摄影粉-DY-直播,False,-0.04505806,> 0.05（5个百分点）,本月CAC率 1.108474 - 上月 1.153532
S2,R37,2025-09,三级渠道,千川直播,False,-1.02741716,> 0.05（5个百分点）,本月CAC率 3.793710 - 上月 4.821127
S2,R36,2025-10,三级渠道,千川直播,False,4.00696755,连续3个完整月上升,4.821127 -> 3.793710 -> 4.006968
S2,R37,2025-10,三级渠道,千川直播,True,0.21325761,> 0.05（5个百分点）,本月CAC率 4.006968 - 上月 3.793710
S2,R37,2025-09,三级渠道,华为-东莞聚力,False,-1.01523752,> 0.05（5个百分点）,本月CAC率 0.969017 - 上月 1.984255
S2,R36,2025-10,三级渠道,华为-东莞聚力,False,0.63945915,连续3个完整月上升,1.984255 -> 0.969017 -> 0.639459
S2,R37,2025-10,三级渠道,华为-东莞聚力,False,-0.32955823,> 0.05（5个百分点）,本月CAC率 0.639459 - 上月 0.969017
S2,R37,2025-09,三级渠道,华为亚德,True,0.27174237,> 0.05（5个百分点）,本月CAC率 1.334266 - 上月 1.062523
S2,R36,2025-10,三级渠道,华为亚德,False,1.31672707,连续3个完整月上升,1.062523 -> 1.334266 -> 1.316727
S2,R37,2025-10,三级渠道,华为亚德,False,-0.01753878,> 0.05（5个百分点）,本月CAC率 1.316727 - 上月 1.334266
S2,R37,2025-09,三级渠道,南昌微动-G-公众号,True,0.22950336,> 0.05（5个百分点）,本月CAC率 1.449598 - 上月 1.220094
S2,R36,2025-10,三级渠道,南昌微动-G-公众号,False,1.25371855,连续3个完整月上升,1.220094 -> 1.449598 -> 1.253719
S2,R37,2025-10,三级渠道,南昌微动-G-公众号,False,-0.19587900,> 0.05（5个百分点）,本月CAC率 1.253719 - 上月 1.449598
S2,R37,2025-09,三级渠道,南昌高森-G-公众号,False,-0.62557971,> 0.05（5个百分点）,本月CAC率 1.585874 - 上月 2.211454
S2,R36,2025-10,三级渠道,南昌高森-G-公众号,False,1.68777441,连续3个完整月上升,2.211454 -> 1.585874 -> 1.687774
S2,R37,2025-10,三级渠道,南昌高森-G-公众号,True,0.10190017,> 0.05（5个百分点）,本月CAC率 1.687774 - 上月 1.585874
S2,R37,2025-09,三级渠道,南昌高森-G-视频号,True,0.64169401,> 0.05（5个百分点）,本月CAC率 2.263359 - 上月 1.621665
S2,R36,2025-10,三级渠道,南昌高森-G-视频号,True,3.15739003,连续3个完整月上升,1.621665 -> 2.263359 -> 3.157390
S2,R37,2025-10,三级渠道,南昌高森-G-视频号,True,0.89403094,> 0.05（5个百分点）,本月CAC率 3.157390 - 上月 2.263359
S2,R37,2025-09,三级渠道,合肥哲礼-G-公众号,False,-0.44320511,> 0.05（5个百分点）,本月CAC率 1.027509 - 上月 1.470714
S2,R36,2025-10,三级渠道,合肥哲礼-G-公众号,False,1.05944703,连续3个完整月上升,1.470714 -> 1.027509 -> 1.059447
S2,R37,2025-10,三级渠道,合肥哲礼-G-公众号,False,0.03193785,> 0.05（5个百分点）,本月CAC率 1.059447 - 上月 1.027509
S2,R37,2025-10,三级渠道,合肥哲礼-G-视频号,False,-1.98998048,> 0.05（5个百分点）,本月CAC率 1.277606 - 上月 3.267587
S2,R37,2025-09,三级渠道,喜马拉雅,True,0.29446766,> 0.05（5个百分点）,本月CAC率 1.294265 - 上月 0.999797
S2,R36,2025-10,三级渠道,喜马拉雅,False,0.99691914,连续3个完整月上升,0.999797 -> 1.294265 -> 0.996919
S2,R37,2025-10,三级渠道,喜马拉雅,False,-0.29734579,> 0.05（5个百分点）,本月CAC率 0.996919 - 上月 1.294265
S2,R37,2025-09,三级渠道,喜鹊-XCX-垂直应用,True,0.29212497,> 0.05（5个百分点）,本月CAC率 1.480066 - 上月 1.187941
S2,R36,2025-10,三级渠道,喜鹊-XCX-垂直应用,True,1.67779238,连续3个完整月上升,1.187941 -> 1.480066 -> 1.677792
S2,R37,2025-10,三级渠道,喜鹊-XCX-垂直应用,True,0.19772650,> 0.05（5个百分点）,本月CAC率 1.677792 - 上月 1.480066
S2,R37,2025-09,三级渠道,存量MVP,False,-0.30490429,> 0.05（5个百分点）,本月CAC率 0.025585 - 上月 0.330489
S2,R37,2025-09,三级渠道,安徽煜旻-G-公众号,True,0.83376439,> 0.05（5个百分点）,本月CAC率 2.362058 - 上月 1.528293
S2,R36,2025-10,三级渠道,安徽煜旻-G-公众号,False,1.44563696,连续3个完整月上升,1.528293 -> 2.362058 -> 1.445637
S2,R37,2025-10,三级渠道,安徽煜旻-G-公众号,False,-0.91642092,> 0.05（5个百分点）,本月CAC率 1.445637 - 上月 2.362058
S2,R37,2025-09,三级渠道,安徽煜旻-G-视频号,True,0.26083838,> 0.05（5个百分点）,本月CAC率 0.892514 - 上月 0.631676
S2,R36,2025-10,三级渠道,安徽煜旻-G-视频号,False,0.62572494,连续3个完整月上升,0.631676 -> 0.892514 -> 0.625725
S2,R37,2025-10,三级渠道,安徽煜旻-G-视频号,False,-0.26678955,> 0.05（5个百分点）,本月CAC率 0.625725 - 上月 0.892514
S2,R37,2025-09,三级渠道,小徐老师手机摄影-摄影粉-DY-直播,False,0.04824927,> 0.05（5个百分点）,本月CAC率 0.957596 - 上月 0.909347
S2,R36,2025-10,三级渠道,小徐老师手机摄影-摄影粉-DY-直播,True,0.99263775,连续3个完整月上升,0.909347 -> 0.957596 -> 0.992638
S2,R37,2025-10,三级渠道,小徐老师手机摄影-摄影粉-DY-直播,False,0.03504185,> 0.05（5个百分点）,本月CAC率 0.992638 - 上月 0.957596
S2,R37,2025-09,三级渠道,小程序,True,0.09973938,> 0.05（5个百分点）,本月CAC率 1.892118 - 上月 1.792378
S2,R36,2025-10,三级渠道,小程序,False,1.58414158,连续3个完整月上升,1.792378 -> 1.892118 -> 1.584142
S2,R37,2025-10,三级渠道,小程序,False,-0.30797601,> 0.05（5个百分点）,本月CAC率 1.584142 - 上月 1.892118
S2,R37,2025-09,三级渠道,小红书,True,0.05498891,> 0.05（5个百分点）,本月CAC率 1.648447 - 上月 1.593458
S2,R36,2025-10,三级渠道,小红书,False,1.58518563,连续3个完整月上升,1.593458 -> 1.648447 -> 1.585186
S2,R37,2025-10,三级渠道,小红书,False,-0.06326158,> 0.05（5个百分点）,本月CAC率 1.585186 - 上月 1.648447
S2,R37,2025-09,三级渠道,广州开域-G-视频号,True,4.26769094,> 0.05（5个百分点）,本月CAC率 6.085882 - 上月 1.818191
S2,R37,2025-09,三级渠道,微信,False,-0.14092566,> 0.05（5个百分点）,本月CAC率 1.571658 - 上月 1.712583
S2,R36,2025-10,三级渠道,微信,False,1.46828764,连续3个完整月上升,1.712583 -> 1.571658 -> 1.468288
S2,R37,2025-10,三级渠道,微信,False,-0.10336987,> 0.05（5个百分点）,本月CAC率 1.468288 - 上月 1.571658
S2,R37,2025-09,三级渠道,微博,True,0.29619985,> 0.05（5个百分点）,本月CAC率 2.087347 - 上月 1.791147
S2,R36,2025-10,三级渠道,微博,False,1.81360839,连续3个完整月上升,1.791147 -> 2.087347 -> 1.813608
S2,R37,2025-10,三级渠道,微博,False,-0.27373849,> 0.05（5个百分点）,本月CAC率 1.813608 - 上月 2.087347
S2,R37,2025-09,三级渠道,快手,True,0.16181259,> 0.05（5个百分点）,本月CAC率 1.969053 - 上月 1.807240
S2,R36,2025-10,三级渠道,快手,False,1.42106074,连续3个完整月上升,1.807240 -> 1.969053 -> 1.421061
S2,R37,2025-10,三级渠道,快手,False,-0.54799218,> 0.05（5个百分点）,本月CAC率 1.421061 - 上月 1.969053
S2,R37,2025-10,三级渠道,快手直播,True,2.98002883,> 0.05（5个百分点）,本月CAC率 4.255672 - 上月 1.275643
S2,R37,2025-09,三级渠道,快手私信,False,-0.93985689,> 0.05（5个百分点）,本月CAC率 1.924676 - 上月 2.864532
S2,R36,2025-10,三级渠道,快手私信,False,5.44591258,连续3个完整月上升,2.864532 -> 1.924676 -> 5.445913
S2,R37,2025-10,三级渠道,快手私信,True,3.52123704,> 0.05（5个百分点）,本月CAC率 5.445913 - 上月 1.924676
S2,R37,2025-09,三级渠道,抖音,False,-0.12655955,> 0.05（5个百分点）,本月CAC率 1.585883 - 上月 1.712442
S2,R36,2025-10,三级渠道,抖音,False,1.42049149,连续3个完整月上升,1.712442 -> 1.585883 -> 1.420491
S2,R37,2025-10,三级渠道,抖音,False,-0.16539120,> 0.05（5个百分点）,本月CAC率 1.420491 - 上月 1.585883
S2,R37,2025-09,三级渠道,抖音-免费,False,0.00000000,> 0.05（5个百分点）,本月CAC率 0.000000 - 上月 0.000000
S2,R37,2025-10,三级渠道,抖音品专,False,0.00000000,> 0.05（5个百分点）,本月CAC率 0.000000 - 上月 0.000000
S2,R37,2025-09,三级渠道,抖音品牌,True,0.71840080,> 0.05（5个百分点）,本月CAC率 3.111404 - 上月 2.393003
S2,R36,2025-10,三级渠道,抖音品牌,False,1.57966558,连续3个完整月上升,2.393003 -> 3.111404 -> 1.579666
S2,R37,2025-10,三级渠道,抖音品牌,False,-1.53173795,> 0.05（5个百分点）,本月CAC率 1.579666 - 上月 3.111404
S2,R37,2025-09,三级渠道,抖音星图轻运动-DY-短直视频,True,0.68661365,> 0.05（5个百分点）,本月CAC率 1.733170 - 上月 1.046556
S2,R36,2025-10,三级渠道,抖音星图轻运动-DY-短直视频,False,1.51539091,连续3个完整月上升,1.046556 -> 1.733170 -> 1.515391
S2,R37,2025-10,三级渠道,抖音星图轻运动-DY-短直视频,False,-0.21777900,> 0.05（5个百分点）,本月CAC率 1.515391 - 上月 1.733170
S2,R37,2025-09,三级渠道,抖音直播,False,-0.53009006,> 0.05（5个百分点）,本月CAC率 2.405280 - 上月 2.935370
S2,R36,2025-10,三级渠道,抖音直播,False,4.86032942,连续3个完整月上升,2.935370 -> 2.405280 -> 4.860329
S2,R37,2025-10,三级渠道,抖音直播,True,2.45504950,> 0.05（5个百分点）,本月CAC率 4.860329 - 上月 2.405280
S2,R37,2025-09,三级渠道,抖音购物车,True,0.08270826,> 0.05（5个百分点）,本月CAC率 1.444443 - 上月 1.361735
S2,R36,2025-10,三级渠道,抖音购物车,False,1.34767962,连续3个完整月上升,1.361735 -> 1.444443 -> 1.347680
S2,R37,2025-10,三级渠道,抖音购物车,False,-0.09676353,> 0.05（5个百分点）,本月CAC率 1.347680 - 上月 1.444443
S2,R37,2025-09,三级渠道,摄影存量,False,-0.07808144,> 0.05（5个百分点）,本月CAC率 0.970098 - 上月 1.048179
S2,R36,2025-10,三级渠道,摄影存量,False,0.23435234,连续3个完整月上升,1.048179 -> 0.970098 -> 0.234352
S2,R37,2025-10,三级渠道,摄影存量,False,-0.73574552,> 0.05（5个百分点）,本月CAC率 0.234352 - 上月 0.970098
S2,R37,2025-09,三级渠道,摄影师路白-DY-短直视频,False,-0.33562296,> 0.05（5个百分点）,本月CAC率 0.362057 - 上月 0.697680
S2,R36,2025-10,三级渠道,摄影师路白-DY-短直视频,False,0.73363116,连续3个完整月上升,0.697680 -> 0.362057 -> 0.733631
S2,R37,2025-10,三级渠道,摄影师路白-DY-短直视频,True,0.37157454,> 0.05（5个百分点）,本月CAC率 0.733631 - 上月 0.362057
S2,R37,2025-09,三级渠道,敬泽摄影师-DY-短直视频,False,-0.24664904,> 0.05（5个百分点）,本月CAC率 0.753298 - 上月 0.999947
S2,R36,2025-10,三级渠道,敬泽摄影师-DY-短直视频,False,0.81750843,连续3个完整月上升,0.999947 -> 0.753298 -> 0.817508
S2,R37,2025-10,三级渠道,敬泽摄影师-DY-短直视频,True,0.06421066,> 0.05（5个百分点）,本月CAC率 0.817508 - 上月 0.753298
S2,R37,2025-09,三级渠道,晓峰老师教音乐-sp-短直视频,False,-1.97934954,> 0.05（5个百分点）,本月CAC率 0.000000 - 上月 1.979350
S2,R37,2025-09,三级渠道,晖正浩原-G-公众号,False,-0.26884990,> 0.05（5个百分点）,本月CAC率 0.924767 - 上月 1.193617
S2,R36,2025-10,三级渠道,晖正浩原-G-公众号,False,0.79466612,连续3个完整月上升,1.193617 -> 0.924767 -> 0.794666
S2,R37,2025-10,三级渠道,晖正浩原-G-公众号,False,-0.13010107,> 0.05（5个百分点）,本月CAC率 0.794666 - 上月 0.924767
S2,R37,2025-09,三级渠道,未来时代-G-公众号,False,-0.45474559,> 0.05（5个百分点）,本月CAC率 0.893833 - 上月 1.348579
S2,R36,2025-10,三级渠道,未来时代-G-公众号,False,1.57110483,连续3个完整月上升,1.348579 -> 0.893833 -> 1.571105
S2,R37,2025-10,三级渠道,未来时代-G-公众号,True,0.67727153,> 0.05（5个百分点）,本月CAC率 1.571105 - 上月 0.893833
S2,R37,2025-09,三级渠道,杭州乐潼-G-公众号,True,0.32222302,> 0.05（5个百分点）,本月CAC率 0.984807 - 上月 0.662584
S2,R37,2025-09,三级渠道,杭州真量-APP-垂直应用,True,2.10263727,> 0.05（5个百分点）,本月CAC率 3.760926 - 上月 1.658288
S2,R36,2025-10,三级渠道,杭州真量-APP-垂直应用,False,1.17671484,连续3个完整月上升,1.658288 -> 3.760926 -> 1.176715
S2,R37,2025-10,三级渠道,杭州真量-APP-垂直应用,False,-2.58421073,> 0.05（5个百分点）,本月CAC率 1.176715 - 上月 3.760926
S2,R37,2025-09,三级渠道,欣姐食养记-SY-小绿书,False,0.00000000,> 0.05（5个百分点）,本月CAC率 0.000000 - 上月 0.000000
S2,R37,2025-09,三级渠道,江西乐达-G-公众号,False,-0.00440114,> 0.05（5个百分点）,本月CAC率 1.550141 - 上月 1.554542
S2,R36,2025-10,三级渠道,江西乐达-G-公众号,False,1.71778659,连续3个完整月上升,1.554542 -> 1.550141 -> 1.717787
S2,R37,2025-10,三级渠道,江西乐达-G-公众号,True,0.16764574,> 0.05（5个百分点）,本月CAC率 1.717787 - 上月 1.550141
S2,R37,2025-09,三级渠道,河北灵创-G-公众号,True,0.05525294,> 0.05（5个百分点）,本月CAC率 1.927414 - 上月 1.872161
S2,R36,2025-10,三级渠道,河北灵创-G-公众号,True,2.07252255,连续3个完整月上升,1.872161 -> 1.927414 -> 2.072523
S2,R37,2025-10,三级渠道,河北灵创-G-公众号,True,0.14510832,> 0.05（5个百分点）,本月CAC率 2.072523 - 上月 1.927414
S2,R37,2025-09,三级渠道,河北灵创-G-视频号,False,-0.69191568,> 0.05（5个百分点）,本月CAC率 1.472554 - 上月 2.164470
S2,R36,2025-10,三级渠道,河北灵创-G-视频号,False,1.55998820,连续3个完整月上升,2.164470 -> 1.472554 -> 1.559988
S2,R37,2025-10,三级渠道,河北灵创-G-视频号,True,0.08743377,> 0.05（5个百分点）,本月CAC率 1.559988 - 上月 1.472554
S2,R37,2025-09,三级渠道,海学吉米-G-公众号,True,0.06590977,> 0.05（5个百分点）,本月CAC率 0.521713 - 上月 0.455803
S2,R36,2025-10,三级渠道,海学吉米-G-公众号,False,0.37626590,连续3个完整月上升,0.455803 -> 0.521713 -> 0.376266
